Product ID*;Product reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Price tax excluded or Price tax included;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
53638;;Couleur:select:0;H=Noir / V=Anthrazit:25;BH10-LH159;BH10-LH159;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH159_0.jpg;1;;;;
53638;;Couleur:select:0;H=Rouge / V=Argent:32;BH10-LH171;BH10-LH171;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH171_0.jpg;1;;;;
53638;;Couleur:select:0;H=Rouge / V=d'oré:34;BH10-LH172;BH10-LH172;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH172_0.jpg;1;;;;
53638;;Couleur:select:0;H=Rouge / V=Bleu:33;BH10-LH174;BH10-LH174;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH174_0.jpg;1;;;;
53638;;Couleur:select:0;H=Rouge / V=Rouge:36;BH10-LH177;BH10-LH177;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH177_0.jpg;1;;;;
53638;;Couleur:select:0;H=Rouge / V=Anthrazit:31;BH10-LH179;BH10-LH179;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH179_0.jpg;1;;;;
53640;;Couleur:select:0;H=Argent / V= Argent:8;BH11-EVO111;BH11-EVO111;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO111_0.jpg;1;;;;
53640;;Couleur:select:0;H=Argent / V= d'oré:10;BH11-EVO112;BH11-EVO112;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO112_0.jpg;1;;;;
53640;;Couleur:select:0;H=Argent / V= Bleu:9;BH11-EVO114;BH11-EVO114;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO114_0.jpg;1;;;;
53640;;Couleur:select:0;H=Argent / V= Noir:11;BH11-EVO115;BH11-EVO115;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO115_0.jpg;1;;;;
53640;;Couleur:select:0;H=Argent / V= Anthrazit:7;BH11-EVO119;BH11-EVO119;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO119_0.jpg;1;;;;
53640;;Couleur:select:0;H=Noir / V=Argent:26;BH11-EVO151;BH11-EVO151;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO151_0.jpg;1;;;;
53640;;Couleur:select:0;H=Noir / V=d'oré:28;BH11-EVO152;BH11-EVO152;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO152_0.jpg;1;;;;
53640;;Couleur:select:0;H=Noir / V=Rouge:30;BH11-EVO157;BH11-EVO157;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO157_0.jpg;1;;;;
53640;;Couleur:select:0;H=Noir / V=Anthrazit:25;BH11-EVO159;BH11-EVO159;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO159_0.jpg;1;;;;
53640;;Couleur:select:0;H=Anthrazit / V= Argent:2;BH11-EVO191;BH11-EVO191;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO191_0.jpg;1;;;;
53640;;Couleur:select:0;H=Anthrazit / V= Bleu:3;BH11-EVO194;BH11-EVO194;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO194_0.jpg;1;;;;
53640;;Couleur:select:0;H=Anthrazit / V= Noir:5;BH11-EVO195;BH11-EVO195;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO195_0.jpg;1;;;;
53640;;Couleur:select:0;H=Anthrazit / V= Anthrazit:1;BH11-EVO199;BH11-EVO199;;;165.74;116.018;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-EVO199_0.jpg;1;;;;
53641;;Couleur:select:0;H=d'oré / V=Argent:20;BH11-KH121;BH11-KH121;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH121_0.jpg,https://www.motogoodeal.ch/img/import/BH11-KH121_1.jpg;1;;;;
53641;;Couleur:select:0;H=d'oré / V=d'oré:22;BH11-KH122;BH11-KH122;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH122_0.jpg;1;;;;
53641;;Couleur:select:0;H=d'oré / V=Bleu:21;BH11-KH124;BH11-KH124;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH124_0.jpg;1;;;;
53641;;Couleur:select:0;H=d'oré / V=Noir:23;BH11-KH125;BH11-KH125;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH125_0.jpg;1;;;;
53641;;Couleur:select:0;H=d'oré / V=Rouge:24;BH11-KH127;BH11-KH127;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH127_0.jpg;1;;;;
53641;;Couleur:select:0;H=d'oré / V=Anthrazit:19;BH11-KH129;BH11-KH129;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH129_0.jpg;1;;;;
53641;;Couleur:select:0;H=Bleu / V=Argent:14;BH11-KH141;BH11-KH141;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH141_0.jpg;1;;;;
53641;;Couleur:select:0;H=Bleu / V=d'oré:16;BH11-KH142;BH11-KH142;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH142_0.jpg;1;;;;
53641;;Couleur:select:0;H=Bleu / V=Bleu:15;BH11-KH144;BH11-KH144;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH144_0.jpg;1;;;;
53641;;Couleur:select:0;H=Bleu / V=Noir:17;BH11-KH145;BH11-KH145;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH145_0.jpg;1;;;;
53641;;Couleur:select:0;H=Bleu / V=Rouge:18;BH11-KH147;BH11-KH147;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH147_0.jpg;1;;;;
53641;;Couleur:select:0;H=Bleu / V=Anthrazit:13;BH11-KH149;BH11-KH149;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH149_0.jpg;1;;;;
53641;;Couleur:select:0;H=Noir / V=Argent:26;BH11-KH151;BH11-KH151;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH151_0.jpg;1;;;;
53641;;Couleur:select:0;H=Noir / V=d'oré:28;BH11-KH152;BH11-KH152;;;137.97;96.579;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH152_0.jpg;1;;;;
53641;;Couleur:select:0;H=Noir / V=Bleu:27;BH11-KH154;BH11-KH154;;;137.97;96.579;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH154_0.jpg;1;;;;
53641;;Couleur:select:0;H=Noir / V=Noir:29;BH11-KH155;BH11-KH155;;;137.97;96.579;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH155_0.jpg;1;;;;
53641;;Couleur:select:0;H=Noir / V=Rouge:30;BH11-KH157;BH11-KH157;;;137.97;96.579;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH157_0.jpg;1;;;;
53641;;Couleur:select:0;H=Noir / V=Anthrazit:25;BH11-KH159;BH11-KH159;;;137.97;96.579;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH159_0.jpg;1;;;;
53641;;Couleur:select:0;H=Rouge / V=Argent:32;BH11-KH171;BH11-KH171;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH171_0.jpg;1;;;;
53641;;Couleur:select:0;H=Rouge / V=d'oré:34;BH11-KH172;BH11-KH172;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH172_0.jpg;1;;;;
53641;;Couleur:select:0;H=Rouge / V=Bleu:33;BH11-KH174;BH11-KH174;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH174_0.jpg;1;;;;
53641;;Couleur:select:0;H=Rouge / V=Noir:35;BH11-KH175;BH11-KH175;;;137.97;96.579;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH175_0.jpg;1;;;;
53641;;Couleur:select:0;H=Rouge / V=Rouge:36;BH11-KH177;BH11-KH177;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH177_0.jpg;1;;;;
53641;;Couleur:select:0;H=Rouge / V=Anthrazit:31;BH11-KH179;BH11-KH179;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-KH179_0.jpg;1;;;;
53642;;Couleur:select:0;H=d'oré / V=Argent:20;BH11-LH121;BH11-LH121;;;137.97;96.579;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-LH121_0.jpg,https://www.motogoodeal.ch/img/import/BH11-LH121_1.jpg;1;;;;
53642;;Couleur:select:0;H=d'oré / V=Bleu:21;BH11-LH124;BH11-LH124;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH11-LH124_0.jpg;1;;;;
