id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
43537;;Belstaff Glen Duff Racer Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Off Green;<ul><li>Aufgummierte Jersey Baumwolle</li><li>D3O Arm- und</li><li>Schulterprotektoren austrennbar</li><li>metallverstärkte</li><li>Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43538;;Belstaff Glen Duff Racer Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Off Black;<ul><li>Aufgummierte Jersey Baumwolle</li><li>D3O Arm- und</li><li>Schulterprotektoren austrennbar</li><li>metallverstärkte</li><li>Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43539;;Belstaff Xman Racing Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Off Green;<ul><li>Aufgummierte Jersey Baumwolle</li><li>D3O Arm- und</li><li>Schulterprotektoren austrennbar</li><li>metallverstärkte</li><li>Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>gesteppte Applikationen</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43540;;Belstaff Xman Racing Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Off Black;<ul><li>Aufgummierte Jersey Baumwolle</li><li>D3O Arm- und</li><li>Schulterprotektoren austrennbar</li><li>metallverstärkte</li><li>Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>gesteppte Applikationen</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43541;;Belstaff Druids Oiled Suede Veste;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Denim Blue ;;;;;;;;;;;;;;;;;;;;;;;;;
43542;;Belstaff Douglas Armored Denim Veste;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Indigo ;<ul><li>Denim-Baumwolle</li><li>D3O Arm- und Schulterprotektoren</li><li>austrennbar</li><li>Rückenprotektor nachrüstbar</li><li>metallverstärkte Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>verstellbarer Riemen am Bund</li><li>Kord an Innenhals und Abschluss</li><li>Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Obermaterial: 100% Denim-Baumwolle</li><li>Futter: 100% Baumwolle</li><li>Farbe: Indigo</li><li>Italienische Grössen: Klein ausgemessen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43543;;Belstaff Douglas Armored Denim Veste;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Black ;;;;;;;;;;;;;;;;;;;;;;;;;
43544;;Belstaff Ago'S Leap Cordura Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Dark Navy ;;;;;;;;;;;;;;;;;;;;;;;;;
43545;;Belstaff Kepple Gate Waxcotton Veste;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Woodland ;;;;;;;;;;;;;;;;;;;;;;;;;
43546;;Belstaff Crosby Lightweight Waxcotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Schwarz ;<ul><li>Charakteristische</li><li>handgewachste 4-Unzen-Baumwolle</li><li>Miporex® Membrane</li><li>versiegelte Nähte</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>Rückenprotektor nachrüstbar</li><li>metallverstärkte Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>verstellbare Riemen an der</li><li>Taille</li><li>Kord an Innenhals und Abschluss Innenärmel/li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Obermaterial: 100% Baumwolle</li><li>Futter: 100% Baumwolle</li><li>Farbe: Schwarz</li><li>Italienische Grössen: Klein ausgemessen</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
