ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
;;Gants Intersaisons;92,104,151,138;49.7;;;;;;;;;GAN900;SIFAM;S-Line;;;;;;;;6;;;;;;;"• Fabriqué à partir de cuir et de nylon<br>
• 100% Imperméables<br>
• Éléments réflecteurs <br>
• Doublure thermo-isolée<br>
• Rembourrage en mousse<br>
";;;;;;;;;;;;../import/Gants_cuir_unisexe_Sline_Intersaisons_GAN900_noir_devantderriere.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
;;Casque Jet Eco City S730;87,99,145;38.9;;;;;;;;;HDJET81;SIFAM;S-Line;;;;;;;960;6;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Intérieur en tissu aéré et profilé<br>
• Fermeture par boucle clip<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_ecocityS730_HDJET81_noir_gauche.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);noir;
;;Casque Jet Eco City S730;87,99,145;38.9;;;;;;;;;HDJET82;SIFAM;S-Line;;;;;;;960;6;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Intérieur en tissu aéré et profilé<br>
• Fermeture par boucle clip<br>
";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_ecocityS730_HDJET82_blanc_droite.jpg;;;;;;;;;;;;;;blanc;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois), XXL (1 fois);blanc;
;;Casque intégral Sport S420;87,99,145;70.2;;;;;;;;;IMA1G21;SIFAM;S-Line;;;;;;;1520;5;;;;;;;"• Casque en  polycarbonate<br>
• Mousse à double densité pour une meilleure protection antichoc, traité antiallergique<br>
• Entièrement démontable et lavable<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>
• Cache menton amovible<br>";;;;;;;;;;;;../import/Casque_integral_unisexe_Sline_integralsportS420_IMA1G21_noir_droite.jpg;;;;;;;;;;;;;;noir;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir;
;;Casque intégral Sport S420;87,99,145;70.2;;;;;;;;;IMA5G21;SIFAM;S-Line;;;;;;;1520;5;;;;;;;"• Casque en  polycarbonate<br>
• Mousse à double densité pour une meilleure protection antichoc, traité antiallergique<br>
• Entièrement démontable et lavable<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>
• Cache menton amovible<br>";;;;;;;;;;;;../import/Casque_integral_unisexe_Sline_integralsportS420_IMA5G21_bleu_droite.jpg;;;;;;;;;;;;;;bleu;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);bleu;
;;Casque intégral Sport S420;87,99,145;70.2;;;;;;;;;IMA6G21;SIFAM;S-Line;;;;;;;1520;5;;;;;;;"• Casque en  polycarbonate<br>
• Mousse à double densité pour une meilleure protection antichoc, traité antiallergique<br>
• Entièrement démontable et lavable<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>
• Cache menton amovible<br>";;;;;;;;;;;;../import/Casque_integral_unisexe_Sline_integralsportS420_IMA6G21_rouge_droite.jpg;;;;;;;;;;;;;;rouge;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);rouge;
;;Casque Double Ecran S401;87,99,145;97.2;;;;;;;;;INTDVO1;SIFAM;S-Line;;;;;;;1420;5;;;;;;;"• Casque en polycarbonate<br>
• Visière solaire<br>
• Entièrement démontable et lavable<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>
• Mousse à double densité pour une meilleure protection antichoc, traité antiallergique<br>";;;;;;;;;;;;../import/Casque_integral_unisexe_Sline_doubleecranS401_INTDV01_noirmetal_droite.jpg;;;;;;;;;;;;;;noir métal ;Écran solaire;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir métal ;
;;Casque Double Ecran S401;87,99,145;97.2;;;;;;;;;INTDVO2;SIFAM;S-Line;;;;;;;1420;5;;;;;;;"• Casque en polycarbonate<br>
• Visière solaire<br>
• Entièrement démontable et lavable<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>
• Mousse à double densité pour une meilleure protection antichoc, traité antiallergique<br>";;;;;;;;;;;;../import/Casque_integral_unisexe_Sline_doubleecranS401_INTDV02_noirmat_droite.jpg;;;;;;;;;;;;;;noir mat;Écran solaire;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir mat;
;;Casque Double Ecran S401;87,99,145;97.2;;;;;;;;;INTDVO7;SIFAM;S-Line;;;;;;;1420;5;;;;;;;"• Casque en polycarbonate<br>
• Visière solaire<br>
• Entièrement démontable et lavable<br>
• Système d'aération : entrée d'air frontale supérieure et inférieure<br>
• Mousse à double densité pour une meilleure protection antichoc, traité antiallergique<br>";;;;;;;;;;;;../import/Casque_integral_unisexe_Sline_doubleecranS401_INTDV07_blanc_droite.jpg;;;;;;;;;;;;;;blanc;Écran solaire;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);blanc;
;;Casque Jet Cafe Racer S220;87,99,145;84.25;;;;;;;;;JCR1F10;SIFAM;S-Line;;;;;;;1060;5;;;;;;;"• Coque polycarbonate<br>
• Encombrement minimum<br>
• Boucle rapide à fermeture micrométrique <br>
• Finition carbone<br>";;;;;;;;;;;;../import/Casque_jet_unisexe_Sline_JetCafeRacerS220_JCR1F10_noirmat_gauche.jpg;;;;;;;;;;;;;;noir mat;;unisexe;;;;XS (1 fois), S (1 fois), M (1 fois), L (1 fois), XL (1 fois);noir mat;
