Product ID*;;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85535;;Taille Casque:select:0;XS:1;DMD163-XS;DMD163-XS;;;;;;0;;;;;;;;;;;
85536;;Taille Casque:select:0;L:4;DMD164-L;DMD164-L;;;;;;0;;;;;;;;;;;
85536;;Taille Casque:select:0;M:3;DMD164-M;DMD164-M;;;;;;0;;;;;;;;;;;
85536;;Taille Casque:select:0;S:2;DMD164-S;DMD164-S;;;;;;0;;;;;;;;;;;
85536;;Taille Casque:select:0;XL:6;DMD164-XL;DMD164-XL;;;;;;0;;;;;;;;;;;
85536;;Taille Casque:select:0;XS:1;DMD164-XS;DMD164-XS;;;;;;0;;;;;;;;;;;
85537;;Taille Casque:select:0;L:4;DMD165-L;DMD165-L;;;;;;0;;;;;;;;;;;
85537;;Taille Casque:select:0;M:3;DMD165-M;DMD165-M;;;;;;0;;;;;;;;;;;
85537;;Taille Casque:select:0;S:2;DMD165-S;DMD165-S;;;;;;0;;;;;;;;;;;
85537;;Taille Casque:select:0;XL:6;DMD165-XL;DMD165-XL;;;;;;0;;;;;;;;;;;
85537;;Taille Casque:select:0;XS:1;DMD165-XS;DMD165-XS;;;;;;0;;;;;;;;;;;
85538;;Taille Casque:select:0;L:4;DMD166-L;DMD166-L;;;;;;0;;;;;;;;;;;
85538;;Taille Casque:select:0;M:3;DMD166-M;DMD166-M;;;;;;0;;;;;;;;;;;
85538;;Taille Casque:select:0;S:2;DMD166-S;DMD166-S;;;;;;0;;;;;;;;;;;
85538;;Taille Casque:select:0;XL:6;DMD166-XL;DMD166-XL;;;;;;0;;;;;;;;;;;
85538;;Taille Casque:select:0;XS:1;DMD166-XS;DMD166-XS;;;;;;0;;;;;;;;;;;
85539;;Taille Casque:select:0;L:4;DMD167-L;DMD167-L;;;;;;1;;;;;;;;;;;
85539;;Taille Casque:select:0;M:3;DMD167-M;DMD167-M;;;;;;1;;;;;;;;;;;
85539;;Taille Casque:select:0;S:2;DMD167-S;DMD167-S;;;;;;0;;;;;;;;;;;
85539;;Taille Casque:select:0;XL:6;DMD167-XL;DMD167-XL;;;;;;1;;;;;;;;;;;
85539;;Taille Casque:select:0;XS:1;DMD167-XS;DMD167-XS;;;;;;0;;;;;;;;;;;
85540;;Taille Casque:select:0;L:4;DMD168-L;DMD168-L;;;;;;0;;;;;;;;;;;
85540;;Taille Casque:select:0;M:3;DMD168-M;DMD168-M;;;;;;0;;;;;;;;;;;
85540;;Taille Casque:select:0;S:2;DMD168-S;DMD168-S;;;;;;0;;;;;;;;;;;
85540;;Taille Casque:select:0;XL:6;DMD168-XL;DMD168-XL;;;;;;0;;;;;;;;;;;
85540;;Taille Casque:select:0;XS:1;DMD168-XS;DMD168-XS;;;;;;0;;;;;;;;;;;
85541;;Taille Casque:select:0;L:4;DMD169-L;DMD169-L;;;;;;0;;;;;;;;;;;
85541;;Taille Casque:select:0;M:3;DMD169-M;DMD169-M;;;;;;0;;;;;;;;;;;
85541;;Taille Casque:select:0;S:2;DMD169-S;DMD169-S;;;;;;0;;;;;;;;;;;
85541;;Taille Casque:select:0;XL:6;DMD169-XL;DMD169-XL;;;;;;0;;;;;;;;;;;
85541;;Taille Casque:select:0;XS:1;DMD169-XS;DMD169-XS;;;;;;0;;;;;;;;;;;
85542;;Taille Casque:select:0;L:4;DMD170-L;DMD170-L;;;;;;0;;;;;;;;;;;
85542;;Taille Casque:select:0;M:3;DMD170-M;DMD170-M;;;;;;0;;;;;;;;;;;
85542;;Taille Casque:select:0;S:2;DMD170-S;DMD170-S;;;;;;0;;;;;;;;;;;
85542;;Taille Casque:select:0;XL:6;DMD170-XL;DMD170-XL;;;;;;0;;;;;;;;;;;
85542;;Taille Casque:select:0;XS:1;DMD170-XS;DMD170-XS;;;;;;0;;;;;;;;;;;
85543;;Taille Casque:select:0;L:4;DMD171-L;DMD171-L;;;;;;1;;;;;;;;;;;
85543;;Taille Casque:select:0;M:3;DMD171-M;DMD171-M;;;;;;2;;;;;;;;;;;
85543;;Taille Casque:select:0;S:2;DMD171-S;DMD171-S;;;;;;0;;;;;;;;;;;
85543;;Taille Casque:select:0;XL:6;DMD171-XL;DMD171-XL;;;;;;0;;;;;;;;;;;
85543;;Taille Casque:select:0;XS:1;DMD171-XS;DMD171-XS;;;;;;0;;;;;;;;;;;
85544;;Taille Casque:select:0;L:4;DMD172-L;DMD172-L;;;;;;0;;;;;;;;;;;
85544;;Taille Casque:select:0;M:3;DMD172-M;DMD172-M;;;;;;1;;;;;;;;;;;
85544;;Taille Casque:select:0;S:2;DMD172-S;DMD172-S;;;;;;1;;;;;;;;;;;
85544;;Taille Casque:select:0;XL:6;DMD172-XL;DMD172-XL;;;;;;0;;;;;;;;;;;
85544;;Taille Casque:select:0;XS:1;DMD172-XS;DMD172-XS;;;;;;0;;;;;;;;;;;
85545;;Taille Casque:select:0;L:4;DMD173-L;DMD173-L;;;;;;0;;;;;;;;;;;
85545;;Taille Casque:select:0;M:3;DMD173-M;DMD173-M;;;;;;0;;;;;;;;;;;
85545;;Taille Casque:select:0;S:2;DMD173-S;DMD173-S;;;;;;0;;;;;;;;;;;
85545;;Taille Casque:select:0;XL:6;DMD173-XL;DMD173-XL;;;;;;0;;;;;;;;;;;
85545;;Taille Casque:select:0;XS:1;DMD173-XS;DMD173-XS;;;;;;0;;;;;;;;;;;
85546;;Taille Casque:select:0;L:4;DMD174-L;DMD174-L;;;;;;2;;;;;;;;;;;
85546;;Taille Casque:select:0;M:3;DMD174-M;DMD174-M;;;;;;2;;;;;;;;;;;
85546;;Taille Casque:select:0;S:2;DMD174-S;DMD174-S;;;;;;1;;;;;;;;;;;
85546;;Taille Casque:select:0;XL:6;DMD174-XL;DMD174-XL;;;;;;2;;;;;;;;;;;
85546;;Taille Casque:select:0;XS:1;DMD174-XS;DMD174-XS;;;;;;0;;;;;;;;;;;
85547;;Taille Casque:select:0;L:4;DMD175-L;DMD175-L;;;;;;0;;;;;;;;;;;
