Product ID*;Ref Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
43512;;Taille:select:0;S:2;41020302-617-S;41020302-617-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
43512;;Taille:select:0;XL:5;41020302-617-XL;41020302-617-XL;;;;;;2;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020302-617-_0.jpg,https://www.motogoodeal.ch/img/import/41020302-617-_1.jpg;1;;;;
43513;;Taille:select:0;2XL:6;41020337-254-2XL;41020337-254-2XL;;;;;;3;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-254-_0.jpg;1;;;;
43513;;Taille:select:0;3XL:7;41020337-254-3XL;41020337-254-3XL;;;;;;2;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-254-_0.jpg;1;;;;
43513;;Taille:select:0;4XL:8;41020337-254-4XL;41020337-254-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-254-_0.jpg;1;;;;
43513;;Taille:select:0;L:4;41020337-254-L;41020337-254-L;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-254-_0.jpg;1;;;;
43513;;Taille:select:0;M:3;41020337-254-M;41020337-254-M;;;;;;2;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-254-_0.jpg;1;;;;
43513;;Taille:select:0;S:2;41020337-254-S;41020337-254-S;;;;;;2;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-254-_0.jpg;1;;;;
43513;;Taille:select:0;XL:5;41020337-254-XL;41020337-254-XL;;;;;;4;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-254-_0.jpg;1;;;;
43514;;Taille:select:0;2XL:6;41020337-650-2XL;41020337-650-2XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-650-_0.jpg;1;;;;
43514;;Taille:select:0;3XL:7;41020337-650-3XL;41020337-650-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-650-_0.jpg;1;;;;
43514;;Taille:select:0;4XL:8;41020337-650-4XL;41020337-650-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-650-_0.jpg;1;;;;
43514;;Taille:select:0;L:4;41020337-650-L;41020337-650-L;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-650-_0.jpg;1;;;;
43514;;Taille:select:0;M:3;41020337-650-M;41020337-650-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-650-_0.jpg;1;;;;
43514;;Taille:select:0;S:2;41020337-650-S;41020337-650-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-650-_0.jpg;1;;;;
43514;;Taille:select:0;XL:5;41020337-650-XL;41020337-650-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-650-_0.jpg;1;;;;
43515;;Taille:select:0;2XL:6;41020337-954-2XL;41020337-954-2XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-954-_0.jpg;1;;;;
43515;;Taille:select:0;3XL:7;41020337-954-3XL;41020337-954-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-954-_0.jpg;1;;;;
43515;;Taille:select:0;4XL:8;41020337-954-4XL;41020337-954-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-954-_0.jpg;1;;;;
43515;;Taille:select:0;L:4;41020337-954-L;41020337-954-L;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-954-_0.jpg;1;;;;
43515;;Taille:select:0;M:3;41020337-954-M;41020337-954-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-954-_0.jpg;1;;;;
43515;;Taille:select:0;S:2;41020337-954-S;41020337-954-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-954-_0.jpg;1;;;;
43515;;Taille:select:0;XL:5;41020337-954-XL;41020337-954-XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020337-954-_0.jpg;1;;;;
43516;;Taille:select:0;2XL:6;41020398-209-2XL;41020398-209-2XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-209-_0.jpg;1;;;;
43516;;Taille:select:0;3XL:7;41020398-209-3XL;41020398-209-3XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-209-_0.jpg;1;;;;
43516;;Taille:select:0;4XL:8;41020398-209-4XL;41020398-209-4XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-209-_0.jpg;1;;;;
43516;;Taille:select:0;5XL:9;41020398-209-5XL;41020398-209-5XL;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-209-_0.jpg;1;;;;
43516;;Taille:select:0;L:4;41020398-209-L;41020398-209-L;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-209-_0.jpg;1;;;;
43516;;Taille:select:0;M:3;41020398-209-M;41020398-209-M;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-209-_0.jpg;1;;;;
43516;;Taille:select:0;S:2;41020398-209-S;41020398-209-S;;;;;;0;1;;;2015-02-25;1;https://www.motogoodeal.ch/img/import/41020398-209-_0.jpg;1;;;;
