id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
58747;;Cyclope Scheinwerfer Ohne Mfk ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>Cyclope Scheinwerfer futuristisch gestylter Scheinwerfer für</li><li>den Einsatz auf der Strasse und im Gelände,einfache Montage</li><li>ohne MFK</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58748;;Scheinwerfer Elba;;;;;;;;;;;;;;;;;;;;;;;;;;;Ohne Mfk Weiss ;"<ul><li>Die legendäre ""ELBA"" Lampenmaske von Acerbis. Scheinwerfer im Retrolook</li><li>ohne Leuchtmittel</li><li>ohne CH-Homologation</li></ul>";;;;;;;;;;;;;;;;;;;;;;;;
58749;;Benzinhahn Rechts;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>SCHRAUBENDISTANZ 34MM</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58750;;Benzinhahn Links;;;;;;;;;;;;;;;;;;;;;;;;;;;;<ul><li>SCHRAUBENDISTANZ 34MM</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58751;;Handschutz Rally Pro Ohne Montagekit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58752;;Handschutz Rally Pro Ohne Montagekit;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;;;;;;;;;;;;;;;;;;;;;;;;;
58753;;Handschutz Rally Pro Ohne Montagekit;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
58754;;Handschutz Rally Pro Ohne Montagekit;;;;;;;;;;;;;;;;;;;;;;;;;;;Rot;;;;;;;;;;;;;;;;;;;;;;;;;
58755;;Radiator Scoops Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>YZF 250/450 03-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58756;;Side Panels Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>YZF 250/450 03-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58757;;Side Panels Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>YZF 250/450 03-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58758;;Side Panels Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>RM 125 03/09</li><li>RM 250 03/05</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58759;;Side Panels Kawasaki;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>KX125/250 03-08 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58760;;Side Panels Kawasaki;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>KX125/250 03-08 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58761;;Radiator Scoops Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>CR 85 R 03-07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58762;;Side Panels Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>YZ85 02-09</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58763;;Side Panels Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>YZF/WR250/400/426 98-02</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58764;;Side Panels Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz !!Sold Out!!;<ul><li>YZF/WR250/400/426 98-02</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58765;;Radiator Scoops Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Gelb;<ul><li>RM 125/250 01-11</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58766;;Seitenverkleidungen Kawasaki/Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>KLX 400 03/04</li><li>DRZ 400 00/12</li><li>DRZ 400 E 00/12</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58767;;Seitenverkleidungen Kawasaki/Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>KLX 400 03/04</li><li>DRZ 400 00/12</li><li>DRZ 400 E 00/12</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58768;;Radiator Scoops Suzuki/Kawasaki;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>KX65 00-</li><li>RM 65 03-</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58769;;Side Panels Kawasaki/Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>KX 65 00-08</li><li>RM 65 03-07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
