ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
10731;;BLAZE® Satteltaschen Abstandsbügel;288;117.00;;;;;;;;D9390-523-03;D9390-523-03;SW-MOTECH;SW-MOTECH;4052572024867;;;;;;1,7000;1;;;;;BMW F 800 R (09-) / F 800 GT (12-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10732;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-536-03;D9390-536-03;SW-MOTECH;SW-MOTECH;4052572024874;;;;;;1,3500;1;;;;;BMW S 1000 RR (12-14).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10733;;BLAZE® Satteltaschen Abstandsbügel;288;117.00;;;;;;;;D9390-558-03;D9390-558-03;SW-MOTECH;SW-MOTECH;4052572028414;;;;;;1,2970;1;;;;;BMW R nineT (14-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10734;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-511-03;D9390-511-03;SW-MOTECH;SW-MOTECH;4052572024881;;;;;;1,2500;1;;;;;Kawasaki Ninja ZX-10R (08-10).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10735;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-555-03;D9390-555-03;SW-MOTECH;SW-MOTECH;4052572024898;;;;;;1,2200;1;;;;;Kawasaki Ninja ZX-6R (09-12) / ZX-6R 636 (13-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10736;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-513-03;D9390-513-03;SW-MOTECH;SW-MOTECH;4052572024904;;;;;;1,2500;1;;;;;Kawasaki Z 1000 (10-13).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10737;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-514-03;D9390-514-03;SW-MOTECH;SW-MOTECH;4052572024911;;;;;;1,4600;1;;;;;Kawasaki Z 750 / Z 750 R.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10738;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-515-03;D9390-515-03;SW-MOTECH;SW-MOTECH;4052572024928;;;;;;1,3000;1;;;;;Kawasaki ER-6n / ER-6f (09-10).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10739;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-524-03;D9390-524-03;SW-MOTECH;SW-MOTECH;4052572024935;;;;;;1,2600;1;;;;;Kawasaki Z 1000 SX (11-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10740;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-525-03;D9390-525-03;SW-MOTECH;SW-MOTECH;4052572024942;;;;;;1,4000;1;;;;;Kawasaki Ninja 250 R (08-) / Ninja 300 (12-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
